paper_key,paper_id,sheet,title,rating,n_trials,score_mean,score_std,score_cv,k_mean_range,n_unique_k
Economics__000__co-integration-and-error-correction-representation-estimation-and-testing,000,Economics,"Co-Integration and Error Correction: Representation, Estimation, and Testing",Good,64,0.1240083584375,0.19812585358751095,1.5976814473144247,0.5994883525,8
Economics__001__likelihood-based-inference-in-cointegrated-models,001,Economics,Likelihood-Based Inference in Cointegrated Models,Good,64,0.3261185640625,0.30360486928895175,0.9309646942722538,0.68905856875,8
Economics__002__a-simple-estimator-of-cointegrating-vectors,002,Economics,A Simple Estimator of Cointegrating Vectors,Good,56,0.6780647466071429,0.1460729399166528,0.21542624159059034,0.44177992625000007,7
Economics__003__the-time-interpretation-of-expected-utility-theory,003,Economics,The Time Interpretation of Expected Utility Theory,Good (theory),56,0.4412201519642857,0.18339033897866724,0.4156436150121984,0.651089495,7
Economics__004__production-information-costs-and-economic-organization,004,Economics,"Production, Information Costs, and Economic Organization",Good,64,0.55581302625,0.12887829922646132,0.23187347748214338,0.33899740249999993,8
Economics__005__almost-ideal-demand-system,005,Economics,Almost Ideal Demand System,Good,64,0.5602073746875,0.2162784418658483,0.38606853754200343,0.71974349625,8
Economics__006__optimal-taxation-and-public-production,006,Economics,Optimal Taxation and Public Production,Good,56,0.44865787357142856,0.29712302998995305,0.6622485584054942,0.72649478125,7
Economics__007__national-debt-in-a-neoclassical-growth-model,007,Economics,National Debt in a Neoclassical Growth Model,Good,64,0.60356734609375,0.23383528438506793,0.38742202655335023,0.7567398675,8
Economics__008__survival-of-the-un-fittest-why-the-worst-infrastructure-gets-built-and-what-we-c,008,Economics,Survival of the Un-fittest: Why the Worst Infrastructure Gets Built -- and What We Can Do About It,Good,56,0.7075171283928572,0.07280835504947386,0.10290684441076339,0.23371811749999993,7
Economics__009__the-colonial-origins-of-comparative-development-an-empirical-investigation,009,Economics,The Colonial Origins of Comparative Development: An Empirical Investigation,Good,64,0.69478435515625,0.11081505983150783,0.15949561761013836,0.31123654875,8
Economics__010__political-selection-and-persistence-of-bad-governments,010,Economics,Political selection and persistence of bad governments,Neutral,56,0.4741986491071429,0.30607839767584955,0.6454645078642824,0.77483325375,7
Economics__011__monetary-economics-from-econophysics-perspective,011,Economics,Monetary economics from econophysics perspective,Neutral,64,0.70558450640625,0.056609335294681117,0.08023041149671661,0.17999132499999992,8
Economics__012__expected-growth-criterion-an-axiomatization,012,Economics,Expected Growth Criterion: An Axiomatization,Neutral,64,0.6104093784375,0.10227283770759223,0.16754794621502359,0.32129166249999996,8
Economics__013__labour-by-design-contributions-of-david-card-joshua-angrist-and-guido-imbens,013,Economics,"Labour by Design: Contributions of David Card, Joshua Angrist, and Guido Imbens",Neutral,64,0.59412791515625,0.08165128556083104,0.13743048168231167,0.2648983949999999,8
Economics__014__hypothetical-bias-in-stated-choice-experiments-part-i-integrative-synthesis-of-e,014,Economics,"Hypothetical bias in stated choice experiments: Part I. Integrative synthesis of empirical 
evidence and conceptualisation of external validity",Neutral,64,0.5791259959375,0.1950673610327649,0.3368306075036162,0.62481819125,8
Economics__015__physics-and-financial-economics-1776-2014-puzzles-ising-and-agent-based-models,015,Economics,"Physics and Financial Economics (1776-2014) Puzzles, Ising and Agent-Based models",Neutral,64,0.6478743671875,0.12035192986699932,0.1857643024055133,0.41815770125000007,8
Economics__016__ergodicity-economics-in-plain-english,016,Economics,Ergodicity Economics in Plain English,Neutral,64,0.56196310953125,0.25086132464607813,0.44640176622150335,0.7474812275,8
Economics__017__state-level-policy-uncertainty-and-economic-performance,017,Economics,State-level policy uncertainty and economic performance,Neutral,64,0.66941703265625,0.13474001917525788,0.20127963974954274,0.45763283375,8
Economics__018__the-cost-benefit-fallacy-why-cost-benefit-analysis-is-broken-and-how-to-fix-it,018,Economics,The Cost-Benefit Fallacy: Why Cost-Benefit Analysis Is Broken and How to Fix It,Neutral,64,0.68361076609375,0.06435382660362833,0.09413811162067462,0.20112635875000007,8
Economics__019__why-your-it-project-may-be-riskier-than-you-think-new-research-shows-surprisingl,019,Economics,Why Your IT Project May Be Riskier than You Think New research shows surprisingly high numbers of out-of-control tech projects — ones that can sink entire companies and careers.,Neutral,48,0.4462651027083333,0.23926861711743513,0.5361580272921644,0.60140793,6
Economics__020__ergodicity-economics-is-pseudoscience,020,Economics,‘Ergodicity Economics’ is Pseudoscience,Bad,64,0.65083920171875,0.11097250298220426,0.17050678983248968,0.29124595749999993,8
Economics__021__what-are-we-weighting-for-a-mechanistic-model-for-probability-weighting,021,Economics,What are we weighting for? A mechanistic model for probability weighting,Bad,64,0.6470296959375,0.07014817955929756,0.10841570332820324,0.22705724875,8
Economics__022__commentary-on-addressing-the-malaise-in-neoclassical-economics-a-call-for-partia,022,Economics,"Commentary on ""Addressing the Malaise in neoclassical economics: A call for partial Models""",Bad,48,0.481388011875,0.22106920792624724,0.45923289004473866,0.62807978,6
Economics__023__switching-economics-for-physics-and-the-carbon-price-inflation-problems-in-integ,023,Economics,Switching Economics for Physics and the Carbon Price Inflation: Problems in Integrated Assessment Models and their Implications,Neutral,64,0.6743042765625,0.06717014099166643,0.0996139922678372,0.23445702874999996,8
Economics__024__the-two-growth-rates-of-the-economy,024,Economics,The Two Growth Rates of the Economy,Bad,64,0.6349559790625,0.1010413698159859,0.15913129909442145,0.31962887625,8
Economics__025__land-bubbles-despite-non-vanishing-rents,025,Economics,Land Bubbles Despite Non-Vanishing Rents,Bad,64,0.6689063140625,0.05922721507920368,0.08854336374775156,0.1962692825000001,8
Economics__026__quantum-propensity-in-economics,026,Economics,Quantum propensity in economics,Bad,64,0.6440645,0.08547856844298533,0.13271740399134765,0.2391555999999999,8
Economics__027__switching-economics-for-physics-and-the-carbon-price-inflation-problems-in-integ,027,Economics,Switching Economics for Physics and the Carbon Price Inflation: Problems in Integrated Assessment Models and their Implications,Bad,64,0.7280912690625,0.055898490672104374,0.07677401590611026,0.17763898,8
Economics__028__economists-erroneous-estimates-of-damages-from-climate-change,028,Economics,Economists’ Erroneous Estimates of Damages from Climate Change,Bad,64,0.6732401475,0.09747107099147599,0.14477905299234398,0.34272026499999997,8
Economics__029__infinite-growth-a-curse-or-a-blessing,029,Economics,INFINITE GROWTH:  A CURSE OR A BLESSING?,Bad,64,0.41419775140625,0.19955734049736654,0.48179242842300796,0.6522789325,8
Economics__030__the-skill-content-of-recent-technological-change-an-empirical-exploration,030,Economics,The Skill Content of Recent Technological Change: An Empirical Exploration,Good,64,0.67427373109375,0.09721374323106817,0.1441754865244064,0.27421042125000006,8
Economics__031__where-is-the-land-of-opportunity-the-geography-of-intergenerational-mobility-in-,031,Economics,Where is the Land of Opportunity? The Geography of Intergenerational Mobility in the United States,Good,56,0.6461567157142857,0.09847119149223427,0.1523952148100489,0.28468663749999995,7
Economics__032__is-the-united-states-still-a-land-of-opportunity-recent-trends-in-intergeneratio,032,Economics,Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility,Good,64,0.72967893890625,0.048333739509811464,0.06623973494734708,0.15216446249999993,8
Economics__033__the-fading-american-dream-trends-in-absolute-income-mobility-since-1940,033,Economics,The Fading American Dream: Trends in Absolute Income Mobility Since 1940,Good,64,0.5531692009375,0.23847815579320947,0.4311124975668231,0.75274660875,8
Economics__034__race-and-economic-opportunity-in-the-united-states-an-intergenerational-perspect,034,Economics,Race and Economic Opportunity in the United States: An Intergenerational Perspective,Good,64,0.7143318040625,0.045318285027873155,0.06344150543226837,0.15651323249999993,8
Economics__035__measuring-the-impacts-of-teachers-ii-teacher-value-added-and-student-outcomes-in,035,Economics,Measuring the Impacts of Teachers II: Teacher Value-Added and Student Outcomes in Adulthood,Good,64,0.644130845,0.24417255655061323,0.37907291421607553,0.75575414625,8
Economics__036__active-vs-passive-decisions-and-crowdout-in-retirement-savings-accounts-evidence,036,Economics,ACTIVE VS. PASSIVE DECISIONS AND CROWDOUT IN RETIREMENT SAVINGS ACCOUNTS: EVIDENCE FROM DENMARK,Good,64,0.68567022015625,0.07959345499486974,0.11608124817894533,0.26925805,8
Economics__037__the-china-shock-learning-from-labor-market-adjustment-to-large-changes-in-trade,037,Economics,The China Shock: Learning from Labor-Market Adjustment to Large Changes in Trade,Good,64,0.6611858753125,0.2048779525407415,0.3098643818486124,0.65611544875,8
Economics__038__the-impact-of-individual-teachers-on-student-achievement-evidence-from-panel-dat,038,Economics,The Impact of Individual Teachers on Student Achievement: Evidence from Panel Dat,Good,64,0.65791156921875,0.09175614047810304,0.13946576526547583,0.26811339,8
Economics__039__income-segregation-and-intergenerational-mobility-across-colleges-in-the-united-,039,Economics,INCOME SEGREGATION AND INTERGENERATIONAL MOBILITY ACROSS COLLEGES IN THE UNITED STATES,Good,64,0.51594060484375,0.30238602660492037,0.5860868940456749,0.76973725875,8
Economics__040__the-economic-consequences-of-increasing-sleep-among-the-urban-poor,040,Economics,The Economic Consequences of Increasing Sleep Among the Urban Poor,Good,64,0.7095872978125,0.04473060036835964,0.0630374874328418,0.15445235000000013,8
Economics__041__the-effect-of-evaluation-on-teacher-performance,041,Economics,The Effect of Evaluation on Teacher Performance,Good,56,0.6921955805357143,0.07640896931097507,0.11038638711307505,0.209826925,7
Economics__042__good-jobs-versus-bad-jobs,042,Economics,Good Jobs versus Bad Jobs,Good,64,0.6486729356250001,0.12206545404868677,0.18817719584843787,0.39620529125000004,8
Economics__043__growth-in-a-time-of-debt,043,Economics,Growth in a Time of Debt,Bad,56,0.5131597389285715,0.12678395028639283,0.24706527162693162,0.38909917125000004,7
Economics__044__economic-growth-in-a-cross-section-of-countries,044,Economics,Economic Growth in a Cross Section of Countries,Bad,64,0.5612326546874999,0.3287650900144275,0.5857910926396241,0.82296266625,8
Economics__045__what-are-we-weighting-for-a-mechanistic-model-for-probability-weighting,045,Economics,What are we weighting for? A mechanistic model for probability weighting,Bad,64,0.634613950625,0.14462431464721473,0.22789337439679883,0.43617327499999997,8
Economics__046__africas-growth-tragedy-policies-and-ethnic-divisions,046,Economics,Africa’s Growth Tragedy: Policies and Ethnic Divisions,Bad,64,0.59884921203125,0.13047431892183328,0.21787507823425956,0.3004046337499999,8
Economics__047__ergodicity-economics-is-pseudoscience,047,Economics,Ergodicity Economics' is Pseudoscience,Bad,64,0.51723204921875,0.30272304987663606,0.5852751203910939,0.75250914125,8
Economics__048__quantum-propensity-in-economics,048,Economics,Quantum propensity in economics,Bad,64,0.5647040878125,0.1939440493490135,0.34344367879520143,0.63246307,8
MLComputing__000__prediction-of-heart-disease-using-knn-algorithm,000,MLComputing,Prediction of Heart Disease Using KNN Algorithm,Bad,64,0.6579347865625,0.06121921985069115,0.09304754984995109,0.17938461625000002,8
MLComputing__001__spam-detection-using-nave-bayes-classifier,001,MLComputing,Spam Detection Using Naïve Bayes Classifier,Bad,64,0.5287185728125,0.1717827568571891,0.32490395777737996,0.56336402,8
MLComputing__002__face-recognition-using-principal-component-analysis-method,002,MLComputing,Face recognition using principal component analysis method,Bad,64,0.56952122734375,0.0829402603178834,0.1456315521455051,0.25643285874999994,8
MLComputing__003__stock-market-prediction-using-machine-learning-a-systematic-literature-review,003,MLComputing,Stock Market Prediction using Machine Learning: A Systematic Literature Review,Bad,64,0.44376580875,0.20704663039873736,0.4665673342025753,0.6489494499999999,8
MLComputing__004__handwritten-digit-recognition-using-support-vector-machine,004,MLComputing,Handwritten digit Recognition using Support Vector Machine,Bad,64,0.5905322703125,0.10159115970008611,0.17203320598606023,0.3115846975,8
MLComputing__005__e-nursery-retail-project-using-clustering-algorithm-visual-data-representation,005,MLComputing,E- Nursery Retail Project Using Clustering Algorithm & Visual Data Representation,Bad,56,0.6769766167857142,0.11480196602378942,0.16958040082517073,0.37254598000000005,7
MLComputing__006__iot-based-smart-home-automation-systems-enhancing-energy-efficiency-and-security,006,MLComputing,IoT Based Smart Home Automation Systems: Enhancing Energy Efficiency and Security,Bad,48,0.298403518125,0.16561461064935065,0.5550022053693595,0.39568483499999996,6
MLComputing__007__iot-based-smart-security-and-smart-home-automation,007,MLComputing,IoT Based Smart Security and Smart Home Automation,Bad,64,0.50650798046875,0.19774575562174887,0.3904099505771739,0.6135570549999999,8
MLComputing__008__iot-based-home-automation-system,008,MLComputing,IoT Based Home Automation System,Bad,64,0.46924335703125,0.28217485746195947,0.6013401217807066,0.75962321875,8
MLComputing__009__a-review-on-internet-of-thing-for-home-automation,009,MLComputing,A Review on Internet of Thing for Home Automation,Bad,64,0.25473941578125,0.23618380785114196,0.9271584734023175,0.591014315,8
MLComputing__010__sentiment-analysis-using-lexicon-based-approaches,010,MLComputing,Sentiment Analysis Using Lexicon-Based Approaches,Bad,64,0.6446872646875,0.24858699384145364,0.38559315106364245,0.796407575,8
MLComputing__011__a-comparison-of-lexicon-based-and-ml-based-sentiment-analysis,011,MLComputing,A Comparison of Lexicon-Based and ML-Based Sentiment Analysis,Bad,64,0.660079801875,0.08150227909913385,0.12347337226138608,0.22732714750000005,8
MLComputing__012__decision-tree-based-diabetes-prediction,012,MLComputing,Decision Tree Based Diabetes Prediction,Bad,64,0.5269227046875,0.24784277383567407,0.4703588811620126,0.72053060375,8
MLComputing__013__classification-and-prediction-of-diabetes-disease-using-decision-trees,013,MLComputing,Classification and Prediction of Diabetes Disease using Decision Trees,Bad,64,0.601201318125,0.0846383156538902,0.1407819861703837,0.30426836625,8
MLComputing__014__cuszp-an-ultra-fast-gpu-error-bounded-lossy-compression-framework-with-optimized,014,MLComputing,cuSZp: An Ultra-fast GPU Error-bounded Lossy Compression Framework with Optimized End-to-End Performance,Good,64,0.4311250646875,0.3390332918501634,0.7863919767594837,0.77095792,8
MLComputing__015__cuszp2-a-gpu-lossy-compressor-with-extreme-throughput-and-optimized-compression-,015,MLComputing,cuSZp2: A GPU Lossy Compressor with Extreme Throughput and Optimized Compression Ratio,Good,64,0.44470386546875,0.34742091357684574,0.7812410472543093,0.76954358,8
MLComputing__016__gpu-lossy-compression-for-hpc-can-be-versatile-and-ultra-fast,016,MLComputing,GPU Lossy Compression for HPC Can Be Versatile and Ultra-fast,Good,64,0.3636412825,0.3648381581576531,1.003291363536683,0.7747442087499999,8
MLComputing__017__versatile-datapath-soft-error-detection-on-the-cheap-for-hpc-applications,017,MLComputing,Versatile Datapath Soft Error Detection on the Cheap for HPC Applications,Good,64,0.2293521078125,0.3032604562546595,1.3222483941703342,0.7406538500000001,8
MLComputing__018__demystifying-and-mitigating-cross-layer-deficiencies-of-soft-error-protection-in,018,MLComputing,Demystifying and Mitigating Cross-Layer Deficiencies of Soft Error Protection in Instruction Duplication,Good,56,0.6622452805357143,0.07371703331398911,0.1113137918542156,0.20249725124999995,7
MLComputing__019__mitigating-silent-data-corruptions-in-hpc-applications-across-multiple-program-i,019,MLComputing,Mitigating Silent Data Corruptions in HPC Applications across Multiple Program Inputs,Good,64,0.4781012296875,0.24776950448698318,0.5182364928216815,0.6824094175,8
MLComputing__020__deploying-lightweight-input-aware-selective-instruction-duplication-in-hpc-appli,020,MLComputing,Deploying Lightweight Input-Aware Selective Instruction Duplication in HPC Applications,Good,64,0.350266558125,0.2771776273164212,0.7913334027666566,0.64747840375,8
MLComputing__021__druto-upper-bounding-silent-data-corruption-vulnerability-in-gpu-applications,021,MLComputing,DRUTO: Upper-Bounding Silent Data Corruption Vulnerability in GPU Applications,Good,56,0.4776820135714286,0.31703694620232425,0.663698730944403,0.77497408625,7
MLComputing__022__modeling-soft-error-propagation-in-programs,022,MLComputing,Modeling Soft-Error Propagation in Programs,Good,64,0.4324147046875,0.337678360332635,0.7809132221270559,0.79345811375,8
MLComputing__023__understanding-error-propagation-in-deep-learning-neural-network-dnn-accelerators,023,MLComputing,Understanding Error Propagation in Deep-Learning Neural Network (DNN) Accelerators and Applications,Good,64,0.72553227015625,0.06198864621875726,0.08543885471201362,0.194528845,8
MLComputing__024__binfi-an-efficient-fault-injector-for-safety-critical-machine-learning-systems,024,MLComputing,BinFI: An Efficient Fault Injector for Safety-Critical Machine Learning Systems,Good,64,0.64306147375,0.13164763435025392,0.2047201390911407,0.42054547750000004,8
MLComputing__025__towards-trustworthy-and-aligned-machine-learning-a-data-centric-survey-with-caus,025,MLComputing,Towards Trustworthy and Aligned Machine Learning: A Data-centric Survey with Causality Perspectives,Neutral,64,0.6078487471875,0.09102996508638093,0.14975759267017355,0.22960674999999997,8
MLComputing__026__holistic-survey-of-privacy-and-fairness-in-machine-learning,026,MLComputing,Holistic Survey of Privacy and Fairness in Machine Learning,Neutral,56,0.4758901917857143,0.2175780548101711,0.457202225567496,0.6276280637499999,7
MLComputing__027__assuring-the-machine-learning-lifecycle-desiderata-methods-and-challenges,027,MLComputing,"Assuring the Machine Learning Lifecycle: Desiderata, Methods, and Challenges",Neutral,64,0.5040722034375,0.1300904593192846,0.25807901810918743,0.37811980625,8
MLComputing__028__bias-mitigation-for-machine-learning-classifiers-a-comprehensive-survey,028,MLComputing,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,Neutral,56,0.3657924960714286,0.19412122908797072,0.5306867450065583,0.54838510875,7
MLComputing__029__machine-learning-interpretability-a-survey-on-methods-and-metrics,029,MLComputing,Machine Learning Interpretability: A Survey on Methods and Metrics,Neutral,64,0.55589686578125,0.21113455440453094,0.37980885916276086,0.6264620525,8
MLComputing__030__explainable-trustworthy-and-ethical-machine-learning-for-healthcare-a-survey,030,MLComputing,"Explainable, Trustworthy, and Ethical Machine Learning for Healthcare: A Survey",Neutral,64,0.51419332390625,0.19705513554174534,0.38323161033042363,0.6013837175,8
MLComputing__031__toward-transparent-ai-a-survey-on-interpreting-the-inner-structures-of-deep-neur,031,MLComputing,Toward Transparent AI: A Survey on Interpreting the Inner Structures of Deep Neural Networks,Neutral,64,0.3393732690625,0.19739556289077273,0.5816473508242624,0.5723357425,8
MLComputing__032__interpretable-machine-learning-fundamental-principles-and-10-grand-challenges,032,MLComputing,Interpretable Machine Learning: Fundamental Principles and 10 Grand Challenges,Neutral,64,0.07808060984375,0.12269217419467941,1.5713526628468102,0.3695385825,8
MLComputing__033__a-survey-on-neural-network-interpretability,033,MLComputing,A Survey on Neural Network Interpretability,Neutral,64,0.26873775609375,0.2118795395609565,0.7884249040430392,0.68747095375,8
MLComputing__034__interpretable-and-explainable-machine-learning-methods-for-predictive-process-mo,034,MLComputing,Interpretable and Explainable Machine Learning Methods for Predictive Process Monitoring,Neutral,64,0.52507017421875,0.17698967205164015,0.337078129251928,0.5608831087499999,8
MLComputing__035__machine-learning-for-reliability-engineering-and-safety-applications-review,035,MLComputing,Machine Learning for Reliability Engineering and Safety Applications: Review,Neutral,64,0.38996640359375,0.23936513297657722,0.6138096276261208,0.67924858375,8
MLComputing__036__a-comparative-study-of-machine-learning-algorithms-for-credit-card-fraud-detecti,036,MLComputing,A Comparative Study of Machine Learning Algorithms for Credit Card Fraud Detection,Neutral,56,0.6432084480357142,0.0766793644797251,0.11921386404966416,0.2355145474999999,7
MLComputing__037__an-empirical-evaluation-of-generic-convolutional-and-recurrent-networks-for-sequ,037,MLComputing,An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,Neutral,64,0.49773370015625,0.22379446509976042,0.44962690898668545,0.6011974737500001,8
MLComputing__038__comparison-on-feature-selection-methods-for-textclassification,038,MLComputing,Comparison on Feature Selection Methods for TextClassification,Neutral,64,0.61975040765625,0.0914374762747935,0.14753919504561278,0.28625563874999993,8
MLComputing__039__assessing-the-effect-of-pca-based-dimensionality-reduction-on-machine-learning-p,039,MLComputing,Assessing the Effect of PCA-Based Dimensionality Reduction on Machine Learning Performance in Hyperspectral Optical Imaging,Neutral,64,0.6519764396875,0.0632392629274207,0.09699623955388945,0.19415229625000008,8
MLComputing__040__why-does-bagging-work-a-bayesian-account-and-its-implications,040,MLComputing,Why Does Bagging Work ? A Bayesian Account and its Implications,Neutral,64,0.73213624578125,0.04772454162024152,0.06518532840744072,0.17582276875000002,8
MLComputing__041__using-random-forest-to-learn-imbalanced-data,041,MLComputing,Using Random Forest to Learn Imbalanced Data,Neutral,64,0.607712146875,0.19938865836496653,0.3280972075188398,0.64046872,8
MLComputing__042__image-processing-based-performance-evaluation-of-knn-and-svm-classifiers-for-lun,042,MLComputing,Image Processing-based Performance Evaluation of KNN and SVM Classifiers for Lung Cancer Diagnosis,Neutral,64,0.683188666875,0.07736265414794412,0.11323761341330742,0.21650750124999996,8
MLComputing__043__a-survey-on-feature-selection-methods,043,MLComputing,A survey on feature selection methods,Neutral,64,0.4974839103125,0.21249021267478677,0.4271298192162812,0.724522035,8
MLComputing__044__empirical-comparison-of-supervised-learning-algorithms-for-classification,044,MLComputing,Empirical Comparison of Supervised Learning Algorithms for Classification,Neutral,56,0.6102604414285714,0.21148490602708664,0.34654860723401504,0.664761815,7
MLComputing__045__random-forests,045,MLComputing,Random Forests,Good,64,0.33285642921874997,0.3351167588627301,1.006790704476658,0.74037530375,8
MLComputing__046__a-few-useful-things-to-know-about-machine-learning,046,MLComputing,A Few Useful Things to Know About Machine Learning,Good,64,0.4924768771875,0.3002074492292924,0.6095868925740342,0.78178829125,8
MLComputing__047__imagenet-classification-with-deep-convolutional-neural-networks,047,MLComputing,ImageNet Classification with Deep Convolutional Neural Networks,Good,64,0.57648423671875,0.23663028753739335,0.41047139273790484,0.77820612125,8
MLComputing__048__attention-is-all-you-need,048,MLComputing,Attention Is All You Need,Good,64,0.49414039671875,0.2528017130986564,0.5115989600877412,0.68555719,8
MLComputing__049__dropout-a-simple-way-to-prevent-neural-networks-from-overfitting,049,MLComputing,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,Good,64,0.14718883515625,0.2586193982068306,1.7570585291492402,0.6756580799999999,8
MLComputing__050__adam-a-method-for-stochastic-optimization,050,MLComputing,Adam: A Method for Stochastic Optimization,Good,56,0.15547611410714285,0.21751795986792924,1.3990442269352812,0.54392978125,7
Pyschology__000__the-magical-number-seven-plus-or-minus-two-some-limits-on-our-capacity-for-proce,000,Pyschology,"The Magical Number Seven, Plus or Minus Two: Some Limits on Our Capacity for Processing Information",Good,64,0.5698114690625,0.1979262096599295,0.3473538536975637,0.66542498,8
Pyschology__006__studies-of-interference-in-serial-verbal-reactions,006,Pyschology,Studies of Interference in Serial Verbal Reactions,Good,64,0.691268234375,0.030337112198174084,0.04388616558607375,0.1114955337500001,8
Pyschology__007__the-nature-of-love,007,Pyschology,The Nature of Love,Good,64,0.70815914953125,0.0844869904402275,0.1193050891118921,0.23688538874999998,8
Pyschology__008__cognitive-consequences-of-forced-compliance,008,Pyschology,Cognitive Consequences of Forced Compliance,Good,64,0.641358301875,0.1754591949550566,0.27357437245624583,0.5793318325,8
